,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,SIC: employer social insurance contribution,,,,,
,,TAX_UNIT,204,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_BenCalc,205,,on,on,on,on,on,
,,comp1_cond,206,,{lhw>amount#1},{lhw>amount#1},{lhw>amount#1},{lhw>amount#1},{lhw>amount#1},
,,comp1_perElig,207,,1,1,1,1,1,
,,comp2_cond,208,,{lhw<=amount#1},{lhw<=amount#1},{lhw<=amount#1},{lhw<=amount#1},{lhw<=amount#1},
,,comp2_perElig,209,,lhw/amount#1,lhw/amount#1,lhw/amount#1,lhw/amount#1,lhw/amount#1,
,,#1_amount,210,,38,38,38,38,38,
,,output_var,211,,sin03_s,sin03_s,sin03_s,sin03_s,sin03_s,
,,TAX_UNIT,212,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_BenCalc,213,,on,on,on,on,on,
,,comp1_cond,214,,{sin03_s<amount#1},{sin03_s<amount#1},{sin03_s<amount#1},{sin03_s<amount#1},{sin03_s<amount#1},
,,comp1_perElig,215,,0,0,0,0,0,
,,comp2_cond,216,,{sin03_s>=amount#1} & {sin03_s<=amount#2},{sin03_s>=amount#1} & {sin03_s<=amount#2},{sin03_s>=amount#1} & {sin03_s<=amount#2},{sin03_s>=amount#1} & {sin03_s<=amount#2},{sin03_s>=amount#1} & {sin03_s<=amount#2},
,,comp2_perElig,217,,1.25,1.25,1.25,1.25,1.25,
,,comp3_cond,218,,{sin03_s>amount#2},{sin03_s>amount#2},{sin03_s>amount#2},{sin03_s>amount#2},{sin03_s>amount#2},
,,comp3_perElig,219,,1/sin03_s,1/sin03_s,1/sin03_s,1/sin03_s,1/sin03_s,
,,#1_amount,220,,0.275,0.275,0.275,0.275,0.275,
,,#2_amount,221,,0.8,0.8,0.8,0.8,0.8,
,,output_var,222,,sin04_s,sin04_s,sin04_s,sin04_s,sin04_s,
,,TAX_UNIT,223,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,224,,on,on,on,on,on,
,,formula,225,,sin02_s*sin03_s*sin04_s,sin02_s*sin03_s*sin04_s,sin02_s*sin03_s*sin04_s,sin02_s*sin03_s*sin04_s,sin02_s*sin03_s*sin04_s,
,,uplim,226,,tscer_s,tscer_s,tscer_s,tscer_s,tscer_s,
,,output_var,227,,tscerrd_s,tscerrd_s,tscerrd_s,tscerrd_s,tscerrd_s,
,,TAX_UNIT,228,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,sys_end_par,,,,,,,,
