Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
bdiwi	add	3/16/2010										
bcrdi	add	3/16/2010										
bdisv	add	3/16/2010										
bhlwk	add	3/16/2010										
boawr	add	3/16/2010										
bsuwd	add	3/16/2010										
bedes	add	3/16/2010										
bedsl	add	3/16/2010										
bmana	add	3/16/2010										
bmaer	add	3/16/2010										
boamt	add	3/16/2010										
bfamt	add	3/16/2010										
bwkmt	add	3/16/2010										
tpcpe	add	3/16/2010										
tmu	add	3/16/2010										
ked	add	3/16/2010										
khl	add	3/16/2010										
xhcrt	change	3/16/2010										
bsa	change	3/16/2010										
boact00	add	3/16/2010										
boactcm	add	3/16/2010										
boaht_s	add	3/16/2010										
bunmt_s	add	3/16/2010										
boa_s	add	3/16/2010										
boa_s	delete	3/16/2010										
boamt_s	add	3/16/2010										
byr	change	3/16/2010										
boamtmm_s	add	3/16/2010										
boamtxp_s	add	3/16/2010										
bwkmtcmyn_s	add	3/16/2010										
bmu_s	add	3/16/2010										
ychot_s	add	3/16/2010										
ychmp_s	add	3/16/2010										
yiviy01_s	add	3/16/2010										
ydg01_s	add	3/16/2010										
ydg02_s	add	3/16/2010										
ydg02_s	delete	3/16/2010										
ydg03_s	add	3/16/2010										
ydg04_s	add	3/16/2010										
ymn01_s	add	3/16/2010										
ymn02_s	add	3/16/2010										
yiviy03_s	add	3/16/2010										
bfamt_s	add	3/16/2010										
bwkmt_s	add	3/16/2010										
yselo_s	add	3/16/2010										
lhw00	change	3/16/2010										
lhw01	change	3/16/2010										
yiynt	add	3/16/2010										
bfawc	delete	3/18/2010										
bfawc_s	delete	3/18/2010										
tscfrot_s	add	3/18/2010										
bched	add	3/18/2010										
lct	add	3/18/2010										
bfafp	add	3/19/2010										
tin00_s	add	3/19/2010										
tispy	add	3/19/2010										
tin00_s	change	3/19/2010										
dmp	add	3/19/2010										
afc	change	4/1/2010										
tintals_s	add	4/13/2010										
lserg	add	4/22/2010										
ysera	add	4/22/2010										
ysena	add	4/22/2010										
tscctpi_s	add	4/26/2010										
tscctui_s	add	4/26/2010										
tscersv_s	add	4/28/2010										
tsceesf_s	add	4/28/2010										
bunct02_s	add	4/28/2010										
tinta01_s	add	4/28/2010										
ypp01	add	4/28/2010										
ypp02	add	4/28/2010										
bmals	add	4/28/2010										
bmase	add	4/28/2010										
bunctmy01	add	4/28/2010										
bunctmy02	add	4/28/2010										
kfb_s	add	4/28/2010										
