idhh	idperson	idfather	idmother	idpartner	idorighh	idorigperson	dag	dgn	dms	dcz	ddi	ddt	dwt	dsu00	dsu01	dsu02	dct	dec	deh	dey	dew	drgn1	dcu	les	lcs	lfs	lin	lindi	liwmy	lhw	liwwh	loc	lpemy	lse	lunmy	lowas	yivwg	yem	kfb	ypp	yse	bed	bun	phl	pdi	poa	psu	kivho	yiy	yprrt	ypr	ypt	bsa	bho	tpr	yot	yds	tad	bch00	bchba	bch	bma	bfapl	khooo	yemmy	kfbmy	ysemy	bunmy	pdimy	phlmy	poamy	psumy	tis	byr	byrmy	amrrm	amrtn	afc	xmp	xpp	xhc	xhcrt	xhcmomi	xhcmomc	amoyl	amolv	xhcot
2870	287001	0	0	0	2870	287001	56	0	4	1	0	22008	398.4705	0	0	0	2	0	2	9	1967	2	0	5	0	0	0	0	0	0	408	5	0	0	12	0	16.06699	0	0	0	0	0	643.3333	376.6667	0	0	0	129.2743	.3373508	0	0	0	0	0	0	0	1010.485	0	0	0	0	0	0	27	0	0	0	8	0	5	0	0	9.8525	0	0	4	1	115.6631	0	0	299.642	0	52.83333	103.1667	1995	25000	246.8086
2871	287101	0	0	287102	2871	287101	43	1	2	1	0	22008	335.9937	0	0	0	2	0	5	16	1996	2	0	3	0	50	3	3	12	42	288	1	0	0	0	0	22.49787	4094.613	233.4167	0	0	0	0	0	0	0	0	224.2633	41.66667	0	0	0	0	0	0	0	4741.222	0	300	0	300	0	0	24.58333	12	12	0	0	0	0	0	0	2199.616	0	0	6	1	14285.71	0	0	233.5297	0	81.41666	194.0833	1988	70000	152.1131
2871	287102	0	0	287101	2871	287102	43	0	2	1	0	22008	335.9937	0	0	0	2	0	3	12	1992	2	0	3	0	15	3	3	12	38	300	7	0	0	0	0	13.43153	2211.725	0	0	0	0	0	0	0	0	0	224.2633	41.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.58333	12	0	0	0	0	0	0	0	2199.616	0	0	6	1	14285.71	0	0	233.5297	0	81.41666	194.0833	1988	70000	152.1131
2871	287103	287101	287102	0	2871	287103	17	0	1	1	0	22008	335.9937	0	0	0	2	4	2	9	2007	2	0	6	0	5	3	4	0	96	0	7	0	0	0	0	.2626202	109.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2199.616	0	0	6	1	0	0	0	0	0	0	0	0	0	0
2871	287104	287101	287102	0	2871	287104	14	1	1	1	-1	22008	335.9937	0	0	0	2	3	1	6	2005	2	0	6	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2199.616	0	0	6	1	0	0	0	0	0	0	0	0	0	0
2872	287201	0	0	287202	2872	287201	67	1	2	1	0	22008	440.339	0	0	0	2	0	1	6	1954	2	0	4	0	0	0	0	0	0	516	-1	12	0	0	0	15.21566	0	0	0	0	0	0	0	0	1063.147	0	96.92222	108.3333	83.33334	83.33334	0	0	0	0	0	1378.493	0	0	0	0	0	0	52.08333	0	0	0	0	0	0	12	0	67.98675	0	0	4	2	37142.86	0	0	433.9167	0	0	0	0	0	433.9167
2872	287202	0	0	287201	2872	287202	65	0	2	1	0	22008	440.339	0	0	0	2	0	3	12	1960	2	0	9	0	0	0	0	0	0	480	-1	0	0	0	0	16.06594	0	0	0	0	0	0	0	0	0	0	96.92222	108.3333	83.33334	83.33334	0	0	0	0	0	0	0	0	0	0	0	0	52.08333	0	0	0	0	0	0	0	0	67.98675	0	0	4	2	37142.86	0	0	433.9167	0	0	0	0	0	433.9167
2873	287301	0	0	287302	2873	287301	71	1	2	1	0	22008	456.7974	0	0	0	2	0	2	9	1952	2	0	2	0	2	1	1	12	70	660	6	0	2	0	0	16.06884	0	0	0	1657.155	0	0	0	0	207.6162	0	179.5576	127.0833	208.3333	208.3333	0	0	0	0	0	2107.381	0	0	0	0	0	0	45.83333	0	0	12	0	0	0	2	0	428.2235	0	0	6	2	43571.43	0	0	187.6667	0	0	0	0	0	187.6667
2873	287302	0	0	287301	2873	287302	72	0	2	1	0	22008	456.7974	0	0	0	2	0	2	9	1951	2	0	7	0	0	0	0	0	0	672	-1	0	0	0	0	15.73445	0	0	0	0	0	0	0	0	0	0	0	127.0833	208.3333	208.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428.2235	0	0	6	2	43571.43	0	0	0	0	0	0	0	0	0
2874	287401	0	0	287402	2874	287401	37	1	2	1	0	42008	344.8579	0	0	0	2	0	3	12	1988	2	0	3	0	35	3	3	12	40	240	7	0	0	0	0	12.11539	2100	0	0	0	0	0	0	0	0	0	163.769	18.80982	0	0	0	0	0	0	0	3011.519	0	254.1667	0	254.1667	0	0	36.04167	12	0	0	0	0	0	0	0	1141.191	0	0	6	1	6449.081	0	0	255.5263	0	50.5	138.5	1999	49579	205.0263
