	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		comp5_cond	77		{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag<18}	
		comp5_perElig	78		$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	
		comp6_cond	79		{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun>amount#2} & {dag>=18}	
		comp6_perElig	80		$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	
		comp7_cond	81		{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag<18}	
		comp7_perElig	82		$UI_PostStudyPrivCohabY18	$UI_PostStudyPrivCohabY18	$UI_PostStudyPrivCohabY18	$UI_PostStudyPrivCohabY18	$UI_PostStudyPrivCohabY18	$UI_PostStudyPrivCohabY18	
		comp8_cond	83		{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	{sin05_s=0} & {IsWithPartner} & {GetPartnerInfo#1=1} & {bun<=amount#2} & {dag>=18}	
		comp8_perElig	84		$UI_PostStudyPrivCohab18	$UI_PostStudyPrivCohab18	$UI_PostStudyPrivCohab18	$UI_PostStudyPrivCohab18	$UI_PostStudyPrivCohab18	$UI_PostStudyPrivCohab18	
		#1_info	85		sin06_s	sin06_s	sin06_s	sin06_s	sin06_s	sin06_s	
		#2_amount	86		1025.70#m	1046.24#m	1067.30#m	1099.54#m	1323.92#m	1350.44#m	
